name,rating,genres,tags
Metal Gear Rising: Revengeance - Jetstream Sam,4.56,Action,
StarCraft II: Wings of Liberty,4.56,Strategy,
Warcraft 3: The Frozen Throne,4.56,Strategy,"exclusive, true exclusive"
Wing Commander 2: Vengeance of the Kilrathi,4.56,"Action, Simulation",
The Typing of the Dead,4.56,"Action, Arcade, Educational","Singleplayer, Multiplayer"
Flowers -Le volume sur printemps,4.56,Casual,"Singleplayer, Steam Cloud, steam-trading-cards, Female Protagonist, Anime"
Nymphomania Priestess,4.55,RPG,"NSFW, adult, eroge"
Tyl3R5,4.55,,"Horror, Dark, Mystery, Cult Classic, Experimental"
Fragile Dreams : Farewell Ruins of the Moon,4.55,"Action, RPG","exclusive, true exclusive"
Little Samson,4.55,"Action, Platformer",Singleplayer
Lunar: Silver Star Story Complete,4.55,RPG,Singleplayer
The Legend of Zelda: Ocarina of Time 3D,4.55,"Adventure, RPG, Puzzle","role-playing, exclusive, true exclusive"
Sisterly Lust,4.54,"Adventure, Indie","Singleplayer, Steam Achievements, Partial Controller Support, Story, Steam Trading Cards"
Max Payne (RU),4.54,Action,
Valkyrie Profile 2: Silmeria,4.54,RPG,"exclusive, true exclusive"
God of War (2018),4.54,Action,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Heroes of Might and Magic 3: Armageddon's Blade,4.54,Strategy,"Fantasy, Turn-Based Strategy"
The Orange Box,4.54,Shooter,"Multiplayer, Space, Aliens, Story, puzzles"
Dragon Quest V: Hand of the Heavenly Bride,4.54,,role-playing
The Last Of Us,4.54,"Action, Adventure",exclusive
Black Souls 2,4.53,RPG,"Nudity, NSFW, hentai, eroge"
The Elder Scrolls 4: Shivering Isles,4.53,RPG,
Heroes of Might and Magic 3: The Shadow of Death,4.53,Strategy,
Shovel Knight: Specter of Torment,4.53,"Action, Adventure, Indie, Platformer","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards"
Phoenix Wright: Ace Attorney Trilogy,4.53,"Adventure, Simulation","Singleplayer, Steam Achievements, Steam Cloud, Great Soundtrack, Story Rich"
Ninja Gaiden Black,4.52,"Action, Adventure, Fighting","Story, Ninja, Dog, hardcore"
Shin Megami Tensei: Persona 3 FES,4.52,RPG,
Elden Ring: Shadow of the Erdtree,4.51,"Action, RPG",
The Last of Us Part II Remastered,4.51,"Action, Adventure","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Cuphead: The Delicious Last Course,4.51,Platformer,"Mystery, character, quest"
Divinity: Original Sin 2 - Definitive Edition,4.51,RPG,"PvP, combat, battle, party, explore"
Mewgenics,4.5,Strategy,
GeoGuessr,4.5,"Action, Casual","Steam Achievements, Multiplayer, Co-op, 2D, Online Co-Op"
STRAFTAT,4.5,Action,"Steam Achievements, Multiplayer, FPS, Gore, Violent"
Lorelei and the Laser Eyes,4.5,"Adventure, Indie","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Story Rich"
Snakebird Complete,4.5,"Adventure, Puzzle","Cute, Colorful"
Beyond Good & Evil - 20th Anniversary Edition,4.5,"Action, Adventure","Singleplayer, Full controller support, Story Rich, Open World, Third Person"
Corrupting The Universe,4.5,Adventure,
"""Voices Of The Void"" Demo",4.5,Simulation,"Atmospheric, First-Person, Sci-fi, Horror, Space"
Wolf Girl With You,4.5,Casual,"NSFW, adult, eroge"
Super Deepthroat,4.5,Casual,"NSFW, adult, eroge, cancelled, flash"
